time, conc, conc, conc, conc, conc, conc, conc, conc, conc, conc, conc, conc, conc, conc, conc
sizes(um),  0.13 ,  0.147,  0.17 ,  0.192,  0.231,  0.284,  0.352,  0.447,  0.592,  0.794,  1.039,  1.342,  1.732,  2.236,  2.739
ordinal,cm-3,cm-3,cm-3,cm-3,cm-3,cm-3,cm-3,cm-3,cm-3,cm-3,cm-3,cm-3,cm-3,cm-3,cm-3
7.351136518425926333e+05,1.900984923718648076e+02,3.347762831705094300e+02,4.899179836753258996e+02,5.698148418418314805e+02,6.830604739263771989e+02,1.736171821633810453e+02,7.143952928510269373e+01,4.504021670264627408e-01,3.158585667216826098e-01,1.977266424306352854e-01,1.115369544048351313e-01,1.260074436635734985e-01,4.013180436823793884e-01,4.576799757884814079e-01,1.660420377279142601e-01
7.351136518552177586e+05,1.021587083842861290e+02,1.799083846466791954e+02,2.632813537973778466e+02,3.062178323165559277e+02,3.670759030964561020e+02,9.330167147477803269e+01,3.839151982894751569e+01,2.420455999561464122e-01,1.697420258614038280e-01,1.062580673410163101e-01,5.993982938499825552e-02,6.771625345820773967e-02,2.156678492415453341e-01,2.459566859080606072e-01,8.923079767827320208e-02
7.351136518678427674e+05,1.593719568857324873e+02,2.806647790948643433e+02,4.107301788544063470e+02,4.777129227791149901e+02,5.726541175718145951e+02,1.455546002765665889e+02,5.989241386980875603e+01,3.776014940937311160e-01,2.648048243280418101e-01,1.657671322872613096e-01,9.350869892119237359e-02,1.056402532617066042e-01,3.364510741626522417e-01,3.837029555507431855e-01,1.392038629439906472e-01
7.351136518804678926e+05,9.883304819327855739e+01,1.740516724553182542e+02,2.547105297217163695e+02,2.962492601721136225e+02,3.551261658952581683e+02,9.026434201470956964e+01,3.714172770464685414e+01,2.341660816173405935e-01,1.642162678807451981e-01,1.027989571964348925e-01,5.798855662916400228e-02,6.551182808936879820e-02,2.086470284809223141e-01,2.379498466285380753e-01,8.632599086988827775e-02
7.351136518930930179e+05,1.926614796684468445e+02,3.392898768884675746e+02,4.965232626171003290e+02,5.774973236060091040e+02,6.922697806159114862e+02,1.759579615499038141e+02,7.240270686608711515e+01,4.564746772186198398e-01,3.201171038827279602e-01,2.003924756333216317e-01,1.130407422238349502e-01,1.277063286644748163e-01,4.067287812164521177e-01,4.638506084390087159e-01,1.682806858522916393e-01
7.351136519057180267e+05,1.845615953676153822e+02,3.250254336174548371e+02,4.756484048780702665e+02,5.532181500353590309e+02,6.631653372284708894e+02,1.685603274571049610e+02,6.935874836596786963e+01,4.372835442630695901e-01,3.066587233666563939e-01,1.919675643839094670e-01,1.082882772533132337e-01,1.223372923192421191e-01,3.896290678988708622e-01,4.443493761859815816e-01,1.612058201977050464e-01
7.351136519183431519e+05,1.676536311041944316e+02,2.952493666878171439e+02,4.320735418865968427e+02,5.025370064743568719e+02,6.024117671248718580e+02,1.531182633202051875e+02,6.300468951427913566e+01,3.972233436311055632e-01,2.785652582802600197e-01,1.743811282032183829e-01,9.836782593569469435e-02,1.111297896830767962e-01,3.539345652429836675e-01,4.036418641054685397e-01,1.464375134894258801e-01
7.351136519309681607e+05,1.157812519967394280e+02,2.038986039325016293e+02,2.983890972406397282e+02,3.470510206136472107e+02,4.160243244116703636e+02,1.057431569720188804e+02,4.351090868467670703e+01,2.743216221744559924e-01,1.923765930631053112e-01,1.204272476235525163e-01,6.793261779074659390e-02,7.674600364393217855e-02,2.444264810661119780e-01,2.787542391812811715e-01,1.011294449122788069e-01
7.351136519435932860e+05,1.225216476996590984e+02,2.157688959709454650e+02,3.157603085045802231e+02,3.672551656517746892e+02,4.402438635876110311e+02,1.118991684900790631e+02,4.604396768058897038e+01,2.902917058575615328e-01,2.035761123191364985e-01,1.274381175908171349e-01,7.188742668379370648e-02,8.121389826639131837e-02,2.586561700204532133e-01,2.949823749419919761e-01,1.070168616068622597e-01
7.351136519562184112e+05,1.927538272743906020e+02,3.394525072591338812e+02,4.967612589964335825e+02,5.777741329368921015e+02,6.926016033394632814e+02,1.760423027296966723e+02,7.243741134699548923e+01,4.566934772801974352e-01,3.202705442498220423e-01,2.004885289046124397e-01,1.130949255610357307e-01,1.277675415947208126e-01,4.069237367897114988e-01,4.640729439742626861e-01,1.683613471162442310e-01
7.351136519688434200e+05,1.533014930201807715e+02,2.699742822651742813e+02,3.950855023507794499e+02,4.595168794318094001e+02,5.508417724384011080e+02,1.400104383128828829e+02,5.761111707630813328e+01,3.632186862882285650e-01,2.547184317849691682e-01,1.594530767513338831e-01,8.994696077724248506e-02,1.016164252765064807e-01,3.236356822446448955e-01,3.690877436132615208e-01,1.339016000085321567e-01
7.351136519814685453e+05,1.856385978665283005e+02,3.269221077522822725e+02,4.784240339012007439e+02,5.564464344942426806e+02,6.670352145123383707e+02,1.695439551372151641e+02,6.976348882761608650e+01,4.398352965329107578e-01,3.084482192296580383e-01,1.930877841465306610e-01,1.089201895694832944e-01,1.230511871535147905e-01,3.919027341994918423e-01,4.469423608618535160e-01,1.621465309173236724e-01
7.351136519940936705e+05,1.324804351127866937e+02,2.333069931617969246e+02,3.414258936884256173e+02,3.971063486040682733e+02,4.760277036658175120e+02,1.209945410354283979e+02,4.978650701463335082e+01,3.138871556471064528e-01,2.201231573764068639e-01,1.377965248212451588e-01,7.773057043399556054e-02,8.781511497389901666e-02,2.796802246156204208e-01,3.189590910392809953e-01,1.157153911677392122e-01
7.351136520067186793e+05,1.634658171359942287e+02,2.878743434701627280e+02,4.212807925611862743e+02,4.899841528237080297e+02,5.873641454517938882e+02,1.492935277764793511e+02,6.143089766096678517e+01,3.873011161434128380e-01,2.716069868011510846e-01,1.700252683290824351e-01,9.591069958082934499e-02,1.083538826988212356e-01,3.450936465799560038e-01,3.935593086277365815e-01,1.427796561533184738e-01
7.351136520193438046e+05,1.037657469891025386e+02,1.827384881594390151e+02,2.674229811355891115e+02,3.110348849770572315e+02,3.728503021320706807e+02,9.476938176913537859e+01,3.899544929750159383e+01,2.458531718157306312e-01,1.724122043780791924e-01,1.079295921575581518e-01,6.088273108482650242e-02,6.878148455991195398e-02,2.190604778782069273e-01,2.498257822936581773e-01,9.063446985537371159e-02
7.351136520319689298e+05,1.292916633020807353e+02,2.276913506527612867e+02,3.332078555735005239e+02,3.875480954989740781e+02,4.645698327638058345e+02,1.180822318980481498e+02,4.858815791511069904e+01,3.063319682504312969e-01,2.148248465841159360e-01,1.344797960258638236e-01,7.585961453308083524e-02,8.570142654175977315e-02,2.729483897185887020e-01,3.112818233928654199e-01,1.129301498820628608e-01
7.351136520445939386e+05,1.404771729624895897e+02,2.473897885664841851e+02,3.620349244830666748e+02,4.210763436115270792e+02,5.047615220003572745e+02,1.282979713501138122e+02,5.279170279852001357e+01,3.328339027344168199e-01,2.334101546804950023e-01,1.461141506250663580e-01,8.242251603441075325e-02,9.311578033697655299e-02,2.965621848544517380e-01,3.382119885229674106e-01,1.227001632780998636e-01
7.351136520572190639e+05,1.093624713242647317e+02,1.925946976826074604e+02,2.818467457181382656e+02,3.278109075119143654e+02,3.929604099457241091e+02,9.988087684882961526e+01,4.109871348994104068e+01,2.591135440435951565e-01,1.817114539659329675e-01,1.137508982478595415e-01,6.416651087286551203e-02,7.249129265762140062e-02,2.308757554913674348e-01,2.633004218147391162e-01,9.552294372813796564e-02
7.351136520698440727e+05,1.264824991063071877e+02,2.227442227900264413e+02,3.259681345139873656e+02,3.791277054582619712e+02,4.544759650904708224e+02,1.155166188528357765e+02,4.753246638738384178e+01,2.996761887883064857e-01,2.101572736565663901e-01,1.315579074956796102e-01,7.421138673858171386e-02,8.383936233112822267e-02,2.670179466868518037e-01,3.045184967348482652e-01,1.104764778852008328e-01
7.351136520824691979e+05,1.755762243403661671e+02,3.092015884207967247e+02,4.524914886852085374e+02,5.262847551046585295e+02,6.308791695913751028e+02,1.603539772700038384e+02,6.598202155120176826e+01,4.159944191799880286e-01,2.917290604392005493e-01,1.826216341661354436e-01,1.030162684852670846e-01,1.163813080324357235e-01,3.706599983527428255e-01,4.227162514678888816e-01,1.533575237883504638e-01
