time,altitude,latitude,longitude,temperature,RH,Pressure,LWC,TAS,udvel
datenum,m,deg,deg,celsius,%,mb,g/m3,m/s,m/s
7.351136518425926333e+05,2.660000000000000000e+02,4.590728000000000009e+01,-3.039060000000006312e+00,2.513718900000000289e+01,8.284000000000000341e+01,1.064690000000000055e+03,0.000000000000000000e+00,8.684388439999999321e+01,-4.000000000000000000e+00
7.351136518541666446e+05,2.660000000000000000e+02,4.590796000000000276e+01,-3.038889999999980773e+00,2.513718900000000289e+01,8.284000000000000341e+01,1.064579999999999927e+03,0.000000000000000000e+00,8.703475007999999491e+01,-5.000000000000000000e+00
7.351136518657407723e+05,2.660000000000000000e+02,4.590865000000000151e+01,-3.038889999999980773e+00,2.513718900000000289e+01,8.232000000000000739e+01,1.064579999999999927e+03,0.000000000000000000e+00,8.703475007999999491e+01,-5.000000000000000000e+00
7.351136518773147836e+05,2.660000000000000000e+02,4.590934000000000026e+01,-3.038889999999980773e+00,2.513718900000000289e+01,8.218999999999999773e+01,1.064690000000000055e+03,0.000000000000000000e+00,8.693931723999999406e+01,-5.000000000000000000e+00
7.351136518888889113e+05,2.650000000000000000e+02,4.591002000000000294e+01,-3.038720000000012078e+00,2.526414449999999690e+01,8.179999999999999716e+01,1.064690000000000055e+03,0.000000000000000000e+00,8.684388439999999321e+01,-5.000000000000000000e+00
7.351136519004630391e+05,2.650000000000000000e+02,4.591071000000000168e+01,-3.038720000000012078e+00,2.526414449999999690e+01,8.192999999999999261e+01,1.064690000000000055e+03,0.000000000000000000e+00,8.684388439999999321e+01,-5.000000000000000000e+00
7.351136519120370504e+05,2.650000000000000000e+02,4.591122000000000014e+01,-3.038720000000012078e+00,2.513718900000000289e+01,8.284000000000000341e+01,1.064800000000000182e+03,0.000000000000000000e+00,8.655758588000000486e+01,-4.000000000000000000e+00
7.351136519236111781e+05,2.650000000000000000e+02,4.591190999999999889e+01,-3.038720000000012078e+00,2.526414449999999690e+01,8.232000000000000739e+01,1.064800000000000182e+03,0.000000000000000000e+00,8.674845156000000657e+01,-4.000000000000000000e+00
7.351136519351851894e+05,2.640000000000000000e+02,4.591243000000000052e+01,-3.038720000000012078e+00,2.513718900000000289e+01,8.284000000000000341e+01,1.064910000000000082e+03,0.000000000000000000e+00,8.713018291999999576e+01,-4.000000000000000000e+00
7.351136519467593171e+05,2.640000000000000000e+02,4.591328000000000031e+01,-3.038889999999980773e+00,2.513718900000000289e+01,8.232000000000000739e+01,1.064800000000000182e+03,0.000000000000000000e+00,8.674845156000000657e+01,-4.000000000000000000e+00
7.351136519583333284e+05,2.640000000000000000e+02,4.591380000000000194e+01,-3.038889999999980773e+00,2.513718900000000289e+01,8.206000000000000227e+01,1.064800000000000182e+03,0.000000000000000000e+00,8.636672020000000316e+01,-4.000000000000000000e+00
7.351136519699074561e+05,2.630000000000000000e+02,4.591465999999999781e+01,-3.039060000000006312e+00,2.513718900000000289e+01,8.296999999999999886e+01,1.065020000000000209e+03,0.000000000000000000e+00,8.684388439999999321e+01,-4.000000000000000000e+00
7.351136519814814674e+05,2.630000000000000000e+02,4.591517000000000337e+01,-3.039060000000006312e+00,2.526414449999999690e+01,8.140999999999999659e+01,1.065020000000000209e+03,0.000000000000000000e+00,8.674845156000000657e+01,-4.000000000000000000e+00
7.351136519930555951e+05,2.630000000000000000e+02,4.591602999999999923e+01,-3.039230000000003429e+00,2.526414449999999690e+01,8.167000000000000171e+01,1.065020000000000209e+03,0.000000000000000000e+00,8.665301871999999150e+01,-4.000000000000000000e+00
7.351136520046296064e+05,2.630000000000000000e+02,4.591655000000000086e+01,-3.039410000000003720e+00,2.526414449999999690e+01,8.257999999999998408e+01,1.065020000000000209e+03,0.000000000000000000e+00,8.732104859999999746e+01,-4.000000000000000000e+00
7.351136520162037341e+05,2.620000000000000000e+02,4.591723000000000354e+01,-3.039569999999997663e+00,2.526414449999999690e+01,8.192999999999999261e+01,1.065130000000000109e+03,0.000000000000000000e+00,8.760734712000000002e+01,-4.000000000000000000e+00
7.351136520277777454e+05,2.620000000000000000e+02,4.591792000000000229e+01,-3.039749999999997954e+00,2.526414449999999690e+01,8.076000000000000512e+01,1.065020000000000209e+03,0.000000000000000000e+00,8.789364563999998836e+01,-3.000000000000000000e+00
7.351136520393518731e+05,2.620000000000000000e+02,4.591843000000000075e+01,-3.039919999999995071e+00,2.526414449999999690e+01,8.102000000000001023e+01,1.065130000000000109e+03,0.000000000000000000e+00,8.760734712000000002e+01,-3.000000000000000000e+00
7.351136520509260008e+05,2.620000000000000000e+02,4.591928999999999661e+01,-3.040259999999989304e+00,2.526414449999999690e+01,8.062999999999999545e+01,1.065130000000000109e+03,0.000000000000000000e+00,8.741648143999999832e+01,-3.000000000000000000e+00
7.351136520625000121e+05,2.620000000000000000e+02,4.591980999999999824e+01,-3.040439999999989595e+00,2.526414449999999690e+01,8.076000000000000512e+01,1.065130000000000109e+03,0.000000000000000000e+00,8.722561575999999661e+01,-3.000000000000000000e+00
7.351136520740741398e+05,2.630000000000000000e+02,4.592049000000000092e+01,-3.040779999999983829e+00,2.526414449999999690e+01,8.076000000000000512e+01,1.065020000000000209e+03,0.000000000000000000e+00,8.703475007999999491e+01,-3.000000000000000000e+00
7.351136520856481511e+05,2.630000000000000000e+02,4.592083999999999833e+01,-3.040950000000009368e+00,2.526414449999999690e+01,8.076000000000000512e+01,1.065020000000000209e+03,0.000000000000000000e+00,8.693931723999999406e+01,-3.000000000000000000e+00
7.351136520972222788e+05,2.630000000000000000e+02,4.592170000000000130e+01,-3.041290000000003602e+00,2.526414449999999690e+01,8.089000000000000057e+01,1.065020000000000209e+03,0.000000000000000000e+00,8.693931723999999406e+01,-3.000000000000000000e+00
7.351136521087962901e+05,2.630000000000000000e+02,4.592237999999999687e+01,-3.041470000000003893e+00,2.539110000000000156e+01,8.089000000000000057e+01,1.065020000000000209e+03,0.000000000000000000e+00,8.674845156000000657e+01,-2.000000000000000000e+00
7.351136521203704178e+05,2.630000000000000000e+02,4.592289999999999850e+01,-3.041809999999998126e+00,2.539110000000000156e+01,8.102000000000001023e+01,1.065020000000000209e+03,0.000000000000000000e+00,8.636672020000000316e+01,-2.000000000000000000e+00
7.351136521319444291e+05,2.630000000000000000e+02,4.592376000000000147e+01,-3.041979999999995243e+00,2.539110000000000156e+01,8.192999999999999261e+01,1.065020000000000209e+03,0.000000000000000000e+00,8.655758588000000486e+01,-2.000000000000000000e+00
7.351136521435185568e+05,2.620000000000000000e+02,4.592410000000000281e+01,-3.042320000000017899e+00,2.539110000000000156e+01,8.167000000000000171e+01,1.065130000000000109e+03,0.000000000000000000e+00,8.693931723999999406e+01,-2.000000000000000000e+00
7.351136521550925681e+05,2.630000000000000000e+02,4.592495999999999867e+01,-3.042660000000012133e+00,2.539110000000000156e+01,8.115000000000000568e+01,1.065020000000000209e+03,0.000000000000000000e+00,8.693931723999999406e+01,-2.000000000000000000e+00
7.351136521666666958e+05,2.630000000000000000e+02,4.592564000000000135e+01,-3.043180000000006658e+00,2.539110000000000156e+01,8.115000000000000568e+01,1.065020000000000209e+03,0.000000000000000000e+00,8.693931723999999406e+01,-2.000000000000000000e+00
7.351136521782407071e+05,2.620000000000000000e+02,4.592598999999999876e+01,-3.043350000000003774e+00,2.539110000000000156e+01,8.167000000000000171e+01,1.065130000000000109e+03,0.000000000000000000e+00,8.693931723999999406e+01,-2.000000000000000000e+00
7.351136521898148349e+05,2.620000000000000000e+02,4.592685000000000173e+01,-3.043689999999998008e+00,2.539110000000000156e+01,8.127999999999998693e+01,1.065130000000000109e+03,0.000000000000000000e+00,8.684388439999999321e+01,-2.000000000000000000e+00
7.351136522013889626e+05,2.630000000000000000e+02,4.592736000000000018e+01,-3.044039999999995416e+00,2.539110000000000156e+01,8.127999999999998693e+01,1.065020000000000209e+03,0.000000000000000000e+00,8.684388439999999321e+01,-1.000000000000000000e+00
7.351136522129629739e+05,2.610000000000000000e+02,4.592788000000000181e+01,-3.044379999999989650e+00,2.539110000000000156e+01,8.167000000000000171e+01,1.065240000000000009e+03,0.000000000000000000e+00,8.665301871999999150e+01,-1.000000000000000000e+00
7.351136522245371016e+05,2.620000000000000000e+02,4.592873000000000161e+01,-3.044719999999983884e+00,2.539110000000000156e+01,8.153999999999999204e+01,1.065130000000000109e+03,0.000000000000000000e+00,8.703475007999999491e+01,-1.000000000000000000e+00
7.351136522361111129e+05,2.610000000000000000e+02,4.592907999999999902e+01,-3.045070000000009713e+00,2.539110000000000156e+01,8.153999999999999204e+01,1.065240000000000009e+03,0.000000000000000000e+00,8.684388439999999321e+01,-1.000000000000000000e+00
7.351136522476852406e+05,2.610000000000000000e+02,4.592994000000000199e+01,-3.045590000000004238e+00,2.539110000000000156e+01,8.102000000000001023e+01,1.065350000000000136e+03,0.000000000000000000e+00,8.703475007999999491e+01,-1.000000000000000000e+00
7.351136522592592519e+05,2.600000000000000000e+02,4.593045000000000044e+01,-3.045929999999998472e+00,2.539110000000000156e+01,8.102000000000001023e+01,1.065350000000000136e+03,0.000000000000000000e+00,8.713018291999999576e+01,-1.000000000000000000e+00
7.351136522708333796e+05,2.620000000000000000e+02,4.593113999999999919e+01,-3.046269999999992706e+00,2.539110000000000156e+01,8.284000000000000341e+01,1.065130000000000109e+03,0.000000000000000000e+00,8.922970540000000028e+01,-1.000000000000000000e+00
7.351136522824073909e+05,2.640000000000000000e+02,4.593148000000000053e+01,-3.046780000000012478e+00,2.539110000000000156e+01,8.167000000000000171e+01,1.064910000000000082e+03,0.000000000000000000e+00,8.760734712000000002e+01,-1.000000000000000000e+00
7.351136522939815186e+05,2.660000000000000000e+02,4.593216999999999928e+01,-3.047129999999981464e+00,2.539110000000000156e+01,8.167000000000000171e+01,1.064690000000000055e+03,0.000000000000000000e+00,8.751191427999999917e+01,-1.000000000000000000e+00
7.351136523055555299e+05,2.680000000000000000e+02,4.593267999999999773e+01,-3.047470000000004120e+00,2.539110000000000156e+01,8.192999999999999261e+01,1.064470000000000027e+03,0.000000000000000000e+00,8.779821280000000172e+01,-1.000000000000000000e+00
