time,Theta-Q
ordinal,kelvin
7.351136518425926333e+05,3.214961000000000126e+02
7.351136518657407723e+05,3.213937999999999988e+02
7.351136518888889113e+05,3.214961000000000126e+02
7.351136519120370504e+05,3.215984000000000265e+02
7.351136519351851894e+05,3.213937999999999988e+02
7.351136519583333284e+05,3.215984000000000265e+02
7.351136519814814674e+05,3.213937999999999988e+02
7.351136520046296064e+05,3.214961000000000126e+02
7.351136520277777454e+05,3.210869000000000142e+02
7.351136520509260008e+05,3.210869000000000142e+02
7.351136520740741398e+05,3.212914999999999850e+02
7.351136520972222788e+05,3.213937999999999988e+02
7.351136521203704178e+05,3.217006999999999834e+02
7.351136521435185568e+05,3.215984000000000265e+02
7.351136521666666958e+05,3.215984000000000265e+02
7.351136521898148349e+05,3.215984000000000265e+02
7.351136522129629739e+05,3.217006999999999834e+02
7.351136522361111129e+05,3.215984000000000265e+02
7.351136522592592519e+05,3.217006999999999834e+02
7.351136522824073909e+05,3.218029999999999973e+02
7.351136523055555299e+05,3.218029999999999973e+02
7.351136523287036689e+05,3.217006999999999834e+02
7.351136523518519243e+05,3.218029999999999973e+02
7.351136523750000633e+05,3.218029999999999973e+02
7.351136523981482023e+05,3.217006999999999834e+02
7.351136524212963413e+05,3.220075999999999681e+02
7.351136524444444804e+05,3.219053000000000111e+02
7.351136524675926194e+05,3.218029999999999973e+02
7.351136524907407584e+05,3.217006999999999834e+02
7.351136525138888974e+05,3.218029999999999973e+02
7.351136525370370364e+05,3.219053000000000111e+02
7.351136525601851754e+05,3.215984000000000265e+02
7.351136525833333144e+05,3.217006999999999834e+02
7.351136526064814534e+05,3.217006999999999834e+02
7.351136526296297088e+05,3.219053000000000111e+02
7.351136526527778478e+05,3.217006999999999834e+02
7.351136526759259868e+05,3.215984000000000265e+02
7.351136526990741258e+05,3.215984000000000265e+02
7.351136527222222649e+05,3.217006999999999834e+02
7.351136527453704039e+05,3.219053000000000111e+02
7.351136527685185429e+05,3.218029999999999973e+02
7.351136527916666819e+05,3.218029999999999973e+02
7.351136528148148209e+05,3.219053000000000111e+02
7.351136528379629599e+05,3.218029999999999973e+02
7.351136528611110989e+05,3.219053000000000111e+02
7.351136528842592379e+05,3.218029999999999973e+02
7.351136529074073769e+05,3.218029999999999973e+02
7.351136529305556323e+05,3.219053000000000111e+02
7.351136529537037713e+05,3.219053000000000111e+02
7.351136529768519104e+05,3.219053000000000111e+02
7.351136530000000494e+05,3.219053000000000111e+02
7.351136530231481884e+05,3.219053000000000111e+02
7.351136530462963274e+05,3.218029999999999973e+02
7.351136530694444664e+05,3.219053000000000111e+02
7.351136530925926054e+05,3.219053000000000111e+02
7.351136531157407444e+05,3.219053000000000111e+02
7.351136531388888834e+05,3.218029999999999973e+02
7.351136531620370224e+05,3.218029999999999973e+02
7.351136531851851614e+05,3.218029999999999973e+02
7.351136532083333004e+05,3.219053000000000111e+02
7.351136532314815558e+05,3.218029999999999973e+02
7.351136532546296949e+05,3.218029999999999973e+02
7.351136532777778339e+05,3.218029999999999973e+02
7.351136533009259729e+05,3.218029999999999973e+02
7.351136533240741119e+05,3.217006999999999834e+02
7.351136533472222509e+05,3.217006999999999834e+02
7.351136533703703899e+05,3.215984000000000265e+02
7.351136533935185289e+05,3.214961000000000126e+02
7.351136534166666679e+05,3.213937999999999988e+02
7.351136534398148069e+05,3.213937999999999988e+02
7.351136534629629459e+05,3.212914999999999850e+02
7.351136534861110849e+05,3.212914999999999850e+02
7.351136535092592239e+05,3.212914999999999850e+02
7.351136535324074794e+05,3.213937999999999988e+02
7.351136535555556184e+05,3.213937999999999988e+02
7.351136535787037574e+05,3.212914999999999850e+02
7.351136536018518964e+05,3.211891999999999712e+02
7.351136536250000354e+05,3.211891999999999712e+02
7.351136536481481744e+05,3.208823000000000434e+02
7.351136536712963134e+05,3.208823000000000434e+02
7.351136536944444524e+05,3.210869000000000142e+02
7.351136537175925914e+05,3.210869000000000142e+02
7.351136537407407304e+05,3.210869000000000142e+02
7.351136537638888694e+05,3.210869000000000142e+02
7.351136537870370084e+05,3.210869000000000142e+02
7.351136538101852639e+05,3.207799999999999727e+02
7.351136538333334029e+05,3.237466999999999757e+02
7.351136538564815419e+05,3.206776999999999589e+02
7.351136538796296809e+05,3.206776999999999589e+02
